week,tool_id,scheduled_hours,pm_hours,downtime_hours,available_hours,toolset,process,theoretical_wph,effective_capacity
2,ETCH_B01,168,1,9,158,ETCH_B,Etch,32,5056
2,ETCH_B02,168,3,13,152,ETCH_B,Etch,33,5016
2,ETCH_B03,168,7,13,148,ETCH_B,Etch,31,4588
2,DEPO_A01,168,6,7,155,DEPO_A,Deposition,28,4340
2,DEPO_A02,168,4,15,149,DEPO_A,Deposition,30,4470
2,DEPO_A03,168,12,17,139,DEPO_A,Deposition,29,4031
2,DEPO_B01,168,4,12,152,DEPO_B,Deposition,26,3952
2,DEPO_B02,168,8,14,146,DEPO_B,Deposition,27,3942
2,DEPO_B03,168,12,0,156,DEPO_B,Deposition,28,4368
2,CMP_A01,168,8,6,154,CMP_A,CMP,22,3388
2,CMP_A02,168,8,0,160,CMP_A,CMP,23,3680
2,CMP_A03,168,11,7,150,CMP_A,CMP,21,3150
2,CMP_B01,168,7,10,151,CMP_B,CMP,20,3020
2,CMP_B02,168,2,16,150,CMP_B,CMP,21,3150
2,CMP_B03,168,7,2,159,CMP_B,CMP,22,3498
2,IMPLANT_A01,168,2,0,166,IMPLANT_A,Implant,25,4150
2,IMPLANT_A02,168,10,4,154,IMPLANT_A,Implant,26,4004
2,IMPLANT_A03,168,9,6,153,IMPLANT_A,Implant,24,3672
2,IMPLANT_B01,168,9,8,151,IMPLANT_B,Implant,23,3473
2,IMPLANT_B02,168,11,6,151,IMPLANT_B,Implant,24,3624
2,IMPLANT_B03,168,8,7,153,IMPLANT_B,Implant,25,3825
3,LITHO_A01,168,11,1,156,LITHO_A,Lithography,20,3120
3,LITHO_A02,168,0,15,153,LITHO_A,Lithography,21,3213
3,LITHO_A03,168,6,4,158,LITHO_A,Lithography,19,3002
3,LITHO_B01,168,2,11,155,LITHO_B,Lithography,18,2790
3,LITHO_B02,168,7,2,159,LITHO_B,Lithography,20,3180
3,LITHO_B03,168,0,2,166,LITHO_B,Lithography,19,3154
3,ETCH_A01,168,4,14,150,ETCH_A,Etch,35,5250
3,ETCH_A02,168,2,0,166,ETCH_A,Etch,34,5644
3,ETCH_A03,168,4,13,151,ETCH_A,Etch,36,5436
3,ETCH_B01,168,6,8,154,ETCH_B,Etch,32,4928
3,ETCH_B02,168,9,9,150,ETCH_B,Etch,33,4950
3,ETCH_B03,168,11,12,145,ETCH_B,Etch,31,4495
3,DEPO_A01,168,2,6,160,DEPO_A,Deposition,28,4480
3,DEPO_A02,168,0,19,149,DEPO_A,Deposition,30,4470
3,DEPO_A03,168,12,3,153,DEPO_A,Deposition,29,4437
3,DEPO_B01,168,4,6,158,DEPO_B,Deposition,26,4108
3,DEPO_B02,168,12,14,142,DEPO_B,Deposition,27,3834
3,DEPO_B03,168,10,3,155,DEPO_B,Deposition,28,4340
3,CMP_A01,168,12,6,150,CMP_A,CMP,22,3300
3,CMP_A02,168,10,18,140,CMP_A,CMP,23,3220
3,CMP_A03,168,5,1,162,CMP_A,CMP,21,3402
3,CMP_B01,168,9,12,147,CMP_B,CMP,20,2940
3,CMP_B02,168,8,20,140,CMP_B,CMP,21,2940
3,CMP_B03,168,5,11,152,CMP_B,CMP,22,3344
3,IMPLANT_A01,168,11,19,138,IMPLANT_A,Implant,25,3450
3,IMPLANT_A02,168,10,6,152,IMPLANT_A,Implant,26,3952
3,IMPLANT_A03,168,0,0,168,IMPLANT_A,Implant,24,4032
3,IMPLANT_B01,168,8,19,141,IMPLANT_B,Implant,23,3243
3,IMPLANT_B02,168,12,8,148,IMPLANT_B,Implant,24,3552
3,IMPLANT_B03,168,2,6,160,IMPLANT_B,Implant,25,4000
4,LITHO_A01,168,5,7,156,LITHO_A,Lithography,20,3120
4,LITHO_A02,168,10,8,150,LITHO_A,Lithography,21,3150
4,LITHO_A03,168,4,0,164,LITHO_A,Lithography,19,3116
4,LITHO_B01,168,2,9,157,LITHO_B,Lithography,18,2826
4,LITHO_B02,168,11,14,143,LITHO_B,Lithography,20,2860
4,LITHO_B03,168,10,8,150,LITHO_B,Lithography,19,2850
4,ETCH_A01,168,3,16,149,ETCH_A,Etch,35,5215
4,ETCH_A02,168,0,19,149,ETCH_A,Etch,34,5066
4,ETCH_A03,168,11,6,151,ETCH_A,Etch,36,5436
4,ETCH_B01,168,1,2,165,ETCH_B,Etch,32,5280
4,ETCH_B02,168,0,4,164,ETCH_B,Etch,33,5412
4,ETCH_B03,168,0,16,152,ETCH_B,Etch,31,4712
4,DEPO_A01,168,10,16,142,DEPO_A,Deposition,28,3976
4,DEPO_A02,168,1,1,166,DEPO_A,Deposition,30,4980
4,DEPO_A03,168,11,4,153,DEPO_A,Deposition,29,4437
4,DEPO_B01,168,0,0,168,DEPO_B,Deposition,26,4368
4,DEPO_B02,168,2,1,165,DEPO_B,Deposition,27,4455
4,DEPO_B03,168,4,11,153,DEPO_B,Deposition,28,4284
4,CMP_A01,168,9,5,154,CMP_A,CMP,22,3388
4,CMP_A02,168,6,3,159,CMP_A,CMP,23,3657
4,CMP_A03,168,6,10,152,CMP_A,CMP,21,3192
4,CMP_B01,168,7,16,145,CMP_B,CMP,20,2900
4,CMP_B02,168,5,4,159,CMP_B,CMP,21,3339
4,CMP_B03,168,3,1,164,CMP_B,CMP,22,3608
4,IMPLANT_A01,168,5,10,153,IMPLANT_A,Implant,25,3825
4,IMPLANT_A02,168,0,8,160,IMPLANT_A,Implant,26,4160
4,IMPLANT_A03,168,11,5,152,IMPLANT_A,Implant,24,3648
4,IMPLANT_B01,168,12,2,154,IMPLANT_B,Implant,23,3542
4,IMPLANT_B02,168,3,3,162,IMPLANT_B,Implant,24,3888
4,IMPLANT_B03,168,2,2,164,IMPLANT_B,Implant,25,4100
5,LITHO_A01,168,2,19,147,LITHO_A,Lithography,20,2940
5,LITHO_A02,168,6,19,143,LITHO_A,Lithography,21,3003
5,LITHO_A03,168,8,0,160,LITHO_A,Lithography,19,3040
5,LITHO_B01,168,7,6,155,LITHO_B,Lithography,18,2790
5,LITHO_B02,168,1,7,160,LITHO_B,Lithography,20,3200
5,LITHO_B03,168,0,10,158,LITHO_B,Lithography,19,3002
5,ETCH_A01,168,11,17,140,ETCH_A,Etch,35,4900
5,ETCH_A02,168,6,9,153,ETCH_A,Etch,34,5202
5,ETCH_A03,168,2,6,160,ETCH_A,Etch,36,5760
5,ETCH_B01,168,11,15,142,ETCH_B,Etch,32,4544
5,ETCH_B02,168,9,15,144,ETCH_B,Etch,33,4752
5,ETCH_B03,168,8,19,141,ETCH_B,Etch,31,4371
5,DEPO_A01,168,11,16,141,DEPO_A,Deposition,28,3948
5,DEPO_A02,168,1,0,167,DEPO_A,Deposition,30,5010
5,DEPO_A03,168,11,4,153,DEPO_A,Deposition,29,4437
5,DEPO_B01,168,4,8,156,DEPO_B,Deposition,26,4056
5,DEPO_B02,168,8,2,158,DEPO_B,Deposition,27,4266
5,DEPO_B03,168,2,15,151,DEPO_B,Deposition,28,4228
5,CMP_A01,168,2,19,147,CMP_A,CMP,22,3234
5,CMP_A02,168,7,0,161,CMP_A,CMP,23,3703
5,CMP_A03,168,7,19,142,CMP_A,CMP,21,2982
5,CMP_B01,168,10,16,142,CMP_B,CMP,20,2840
5,CMP_B02,168,7,3,158,CMP_B,CMP,21,3318
5,CMP_B03,168,5,7,156,CMP_B,CMP,22,3432
5,IMPLANT_A01,168,3,2,163,IMPLANT_A,Implant,25,4075
5,IMPLANT_A02,168,8,2,158,IMPLANT_A,Implant,26,4108
5,IMPLANT_A03,168,8,17,143,IMPLANT_A,Implant,24,3432
5,IMPLANT_B01,168,1,1,166,IMPLANT_B,Implant,23,3818
5,IMPLANT_B02,168,5,2,161,IMPLANT_B,Implant,24,3864
5,IMPLANT_B03,168,12,8,148,IMPLANT_B,Implant,25,3700
6,LITHO_A01,168,3,0,165,LITHO_A,Lithography,20,3300
6,LITHO_A02,168,3,0,165,LITHO_A,Lithography,21,3465
6,LITHO_A03,168,4,15,149,LITHO_A,Lithography,19,2831
6,LITHO_B01,168,3,7,158,LITHO_B,Lithography,18,2844
6,LITHO_B02,168,6,2,160,LITHO_B,Lithography,20,3200
6,LITHO_B03,168,0,0,168,LITHO_B,Lithography,19,3192
6,ETCH_A01,168,11,18,139,ETCH_A,Etch,35,4865
6,ETCH_A02,168,5,13,150,ETCH_A,Etch,34,5100
6,ETCH_A03,168,5,5,158,ETCH_A,Etch,36,5688
6,ETCH_B01,168,12,18,138,ETCH_B,Etch,32,4416
6,ETCH_B02,168,5,7,156,ETCH_B,Etch,33,5148
6,ETCH_B03,168,10,1,157,ETCH_B,Etch,31,4867
6,DEPO_A01,168,4,0,164,DEPO_A,Deposition,28,4592
6,DEPO_A02,168,11,14,143,DEPO_A,Deposition,30,4290
6,DEPO_A03,168,0,4,164,DEPO_A,Deposition,29,4756
6,DEPO_B01,168,11,15,142,DEPO_B,Deposition,26,3692
6,DEPO_B02,168,2,3,163,DEPO_B,Deposition,27,4401
6,DEPO_B03,168,2,16,150,DEPO_B,Deposition,28,4200
6,CMP_A01,168,0,11,157,CMP_A,CMP,22,3454
6,CMP_A02,168,11,13,144,CMP_A,CMP,23,3312
6,CMP_A03,168,4,5,159,CMP_A,CMP,21,3339
6,CMP_B01,168,2,8,158,CMP_B,CMP,20,3160
6,CMP_B02,168,4,16,148,CMP_B,CMP,21,3108
6,CMP_B03,168,4,2,162,CMP_B,CMP,22,3564
6,IMPLANT_A01,168,11,0,157,IMPLANT_A,Implant,25,3925
6,IMPLANT_A02,168,3,20,145,IMPLANT_A,Implant,26,3770
6,IMPLANT_A03,168,6,0,162,IMPLANT_A,Implant,24,3888
6,IMPLANT_B01,168,2,17,149,IMPLANT_B,Implant,23,3427
6,IMPLANT_B02,168,8,9,151,IMPLANT_B,Implant,24,3624
6,IMPLANT_B03,168,5,2,161,IMPLANT_B,Implant,25,4025
7,LITHO_A01,168,7,13,148,LITHO_A,Lithography,20,2960
7,LITHO_A02,168,7,17,144,LITHO_A,Lithography,21,3024
7,LITHO_A03,168,5,1,162,LITHO_A,Lithography,19,3078
7,LITHO_B01,168,10,9,149,LITHO_B,Lithography,18,2682
7,LITHO_B02,168,1,16,151,LITHO_B,Lithography,20,3020
7,LITHO_B03,168,7,0,161,LITHO_B,Lithography,19,3059
7,ETCH_A01,168,8,10,150,ETCH_A,Etch,35,5250
7,ETCH_A02,168,5,15,148,ETCH_A,Etch,34,5032
7,ETCH_A03,168,6,9,153,ETCH_A,Etch,36,5508
7,ETCH_B01,168,6,2,160,ETCH_B,Etch,32,5120
7,ETCH_B02,168,1,12,155,ETCH_B,Etch,33,5115
7,ETCH_B03,168,11,6,151,ETCH_B,Etch,31,4681
7,DEPO_A01,168,8,3,157,DEPO_A,Deposition,28,4396
7,DEPO_A02,168,12,19,137,DEPO_A,Deposition,30,4110
7,DEPO_A03,168,0,7,161,DEPO_A,Deposition,29,4669
7,DEPO_B01,168,11,18,139,DEPO_B,Deposition,26,3614
7,DEPO_B02,168,6,14,148,DEPO_B,Deposition,27,3996
7,DEPO_B03,168,11,1,156,DEPO_B,Deposition,28,4368
7,CMP_A01,168,1,18,149,CMP_A,CMP,22,3278
7,CMP_A02,168,8,16,144,CMP_A,CMP,23,3312
7,CMP_A03,168,3,9,156,CMP_A,CMP,21,3276
7,CMP_B01,168,5,14,149,CMP_B,CMP,20,2980
7,CMP_B02,168,5,10,153,CMP_B,CMP,21,3213
7,CMP_B03,168,11,4,153,CMP_B,CMP,22,3366
7,IMPLANT_A01,168,0,7,161,IMPLANT_A,Implant,25,4025
7,IMPLANT_A02,168,4,11,153,IMPLANT_A,Implant,26,3978
7,IMPLANT_A03,168,11,4,153,IMPLANT_A,Implant,24,3672
7,IMPLANT_B01,168,6,3,159,IMPLANT_B,Implant,23,3657
7,IMPLANT_B02,168,5,12,151,IMPLANT_B,Implant,24,3624
7,IMPLANT_B03,168,3,14,151,IMPLANT_B,Implant,25,3775
8,LITHO_A01,168,2,7,159,LITHO_A,Lithography,20,3180
8,LITHO_A02,168,3,15,150,LITHO_A,Lithography,21,3150
8,LITHO_A03,168,12,17,139,LITHO_A,Lithography,19,2641
8,LITHO_B01,168,11,9,148,LITHO_B,Lithography,18,2664
8,LITHO_B02,168,2,16,150,LITHO_B,Lithography,20,3000
8,LITHO_B03,168,7,18,143,LITHO_B,Lithography,19,2717
8,ETCH_A01,168,11,4,153,ETCH_A,Etch,35,5355
8,ETCH_A02,168,9,20,139,ETCH_A,Etch,34,4726
8,ETCH_A03,168,6,8,154,ETCH_A,Etch,36,5544
8,ETCH_B01,168,11,20,137,ETCH_B,Etch,32,4384
8,ETCH_B02,168,0,0,168,ETCH_B,Etch,33,5544
8,ETCH_B03,168,1,15,152,ETCH_B,Etch,31,4712
8,DEPO_A01,168,8,7,153,DEPO_A,Deposition,28,4284
8,DEPO_A02,168,12,20,136,DEPO_A,Deposition,30,4080
8,DEPO_A03,168,0,15,153,DEPO_A,Deposition,29,4437
8,DEPO_B01,168,12,6,150,DEPO_B,Deposition,26,3900
8,DEPO_B02,168,4,2,162,DEPO_B,Deposition,27,4374
8,DEPO_B03,168,11,15,142,DEPO_B,Deposition,28,3976
8,CMP_A01,168,2,4,162,CMP_A,CMP,22,3564
8,CMP_A02,168,5,13,150,CMP_A,CMP,23,3450
8,CMP_A03,168,11,4,153,CMP_A,CMP,21,3213
8,CMP_B01,168,0,13,155,CMP_B,CMP,20,3100
8,CMP_B02,168,3,4,161,CMP_B,CMP,21,3381
8,CMP_B03,168,11,15,142,CMP_B,CMP,22,3124
8,IMPLANT_A01,168,9,15,144,IMPLANT_A,Implant,25,3600
8,IMPLANT_A02,168,4,6,158,IMPLANT_A,Implant,26,4108
8,IMPLANT_A03,168,3,0,165,IMPLANT_A,Implant,24,3960
8,IMPLANT_B01,168,4,9,155,IMPLANT_B,Implant,23,3565
8,IMPLANT_B02,168,5,4,159,IMPLANT_B,Implant,24,3816
8,IMPLANT_B03,168,3,1,164,IMPLANT_B,Implant,25,4100
9,LITHO_A01,168,3,9,156,LITHO_A,Lithography,20,3120
9,LITHO_A02,168,9,18,141,LITHO_A,Lithography,21,2961
9,LITHO_A03,168,9,0,159,LITHO_A,Lithography,19,3021
9,LITHO_B01,168,7,4,157,LITHO_B,Lithography,18,2826
9,LITHO_B02,168,12,3,153,LITHO_B,Lithography,20,3060
9,LITHO_B03,168,7,15,146,LITHO_B,Lithography,19,2774
9,ETCH_A01,168,6,1,161,ETCH_A,Etch,35,5635
9,ETCH_A02,168,0,19,149,ETCH_A,Etch,34,5066
9,ETCH_A03,168,7,11,150,ETCH_A,Etch,36,5400
9,ETCH_B01,168,1,2,165,ETCH_B,Etch,32,5280
9,ETCH_B02,168,11,0,157,ETCH_B,Etch,33,5181
9,ETCH_B03,168,0,18,150,ETCH_B,Etch,31,4650
9,DEPO_A01,168,10,4,154,DEPO_A,Deposition,28,4312
9,DEPO_A02,168,11,2,155,DEPO_A,Deposition,30,4650
9,DEPO_A03,168,0,0,168,DEPO_A,Deposition,29,4872
9,DEPO_B01,168,7,9,152,DEPO_B,Deposition,26,3952
9,DEPO_B02,168,10,11,147,DEPO_B,Deposition,27,3969
9,DEPO_B03,168,12,12,144,DEPO_B,Deposition,28,4032
9,CMP_A01,168,11,13,144,CMP_A,CMP,22,3168
9,CMP_A02,168,1,18,149,CMP_A,CMP,23,3427
9,CMP_A03,168,1,2,165,CMP_A,CMP,21,3465
9,CMP_B01,168,6,16,146,CMP_B,CMP,20,2920
9,CMP_B02,168,9,7,152,CMP_B,CMP,21,3192
9,CMP_B03,168,12,9,147,CMP_B,CMP,22,3234
9,IMPLANT_A01,168,9,1,158,IMPLANT_A,Implant,25,3950
9,IMPLANT_A02,168,2,8,158,IMPLANT_A,Implant,26,4108
9,IMPLANT_A03,168,6,3,159,IMPLANT_A,Implant,24,3816
9,IMPLANT_B01,168,9,20,139,IMPLANT_B,Implant,23,3197
9,IMPLANT_B02,168,1,12,155,IMPLANT_B,Implant,24,3720
9,IMPLANT_B03,168,10,3,155,IMPLANT_B,Implant,25,3875
10,LITHO_A01,168,8,20,140,LITHO_A,Lithography,20,2800
10,LITHO_A02,168,12,3,153,LITHO_A,Lithography,21,3213
10,LITHO_A03,168,9,4,155,LITHO_A,Lithography,19,2945
10,LITHO_B01,168,8,2,158,LITHO_B,Lithography,18,2844
10,LITHO_B02,168,0,2,166,LITHO_B,Lithography,20,3320
10,LITHO_B03,168,3,17,148,LITHO_B,Lithography,19,2812
10,ETCH_A01,168,0,6,162,ETCH_A,Etch,35,5670
10,ETCH_A02,168,7,4,157,ETCH_A,Etch,34,5338
10,ETCH_A03,168,11,16,141,ETCH_A,Etch,36,5076
10,ETCH_B01,168,6,12,150,ETCH_B,Etch,32,4800
10,ETCH_B02,168,6,2,160,ETCH_B,Etch,33,5280
10,ETCH_B03,168,8,16,144,ETCH_B,Etch,31,4464
10,DEPO_A01,168,0,19,149,DEPO_A,Deposition,28,4172
10,DEPO_A02,168,8,12,148,DEPO_A,Deposition,30,4440
10,DEPO_A03,168,10,18,140,DEPO_A,Deposition,29,4060
10,DEPO_B01,168,0,3,165,DEPO_B,Deposition,26,4290
10,DEPO_B02,168,11,8,149,DEPO_B,Deposition,27,4023
10,DEPO_B03,168,2,11,155,DEPO_B,Deposition,28,4340
10,CMP_A01,168,8,6,154,CMP_A,CMP,22,3388
10,CMP_A02,168,11,13,144,CMP_A,CMP,23,3312
10,CMP_A03,168,3,18,147,CMP_A,CMP,21,3087
10,CMP_B01,168,9,14,145,CMP_B,CMP,20,2900
10,CMP_B02,168,4,4,160,CMP_B,CMP,21,3360
10,CMP_B03,168,2,11,155,CMP_B,CMP,22,3410
10,IMPLANT_A01,168,8,19,141,IMPLANT_A,Implant,25,3525
10,IMPLANT_A02,168,10,20,138,IMPLANT_A,Implant,26,3588
10,IMPLANT_A03,168,3,20,145,IMPLANT_A,Implant,24,3480
10,IMPLANT_B01,168,6,15,147,IMPLANT_B,Implant,23,3381
10,IMPLANT_B02,168,8,6,154,IMPLANT_B,Implant,24,3696
10,IMPLANT_B03,168,12,20,136,IMPLANT_B,Implant,25,3400
11,LITHO_A01,168,9,6,153,LITHO_A,Lithography,20,3060
11,LITHO_A02,168,9,4,155,LITHO_A,Lithography,21,3255
11,LITHO_A03,168,2,10,156,LITHO_A,Lithography,19,2964
11,LITHO_B01,168,10,17,141,LITHO_B,Lithography,18,2538
11,LITHO_B02,168,11,8,149,LITHO_B,Lithography,20,2980
11,LITHO_B03,168,9,11,148,LITHO_B,Lithography,19,2812
11,ETCH_A01,168,0,5,163,ETCH_A,Etch,35,5705
11,ETCH_A02,168,6,13,149,ETCH_A,Etch,34,5066
11,ETCH_A03,168,12,7,149,ETCH_A,Etch,36,5364
11,ETCH_B01,168,9,8,151,ETCH_B,Etch,32,4832
11,ETCH_B02,168,1,1,166,ETCH_B,Etch,33,5478
11,ETCH_B03,168,4,4,160,ETCH_B,Etch,31,4960
11,DEPO_A01,168,5,18,145,DEPO_A,Deposition,28,4060
11,DEPO_A02,168,7,15,146,DEPO_A,Deposition,30,4380
11,DEPO_A03,168,12,0,156,DEPO_A,Deposition,29,4524
11,DEPO_B01,168,5,19,144,DEPO_B,Deposition,26,3744
11,DEPO_B02,168,0,6,162,DEPO_B,Deposition,27,4374
11,DEPO_B03,168,8,12,148,DEPO_B,Deposition,28,4144
11,CMP_A01,168,3,3,162,CMP_A,CMP,22,3564
11,CMP_A02,168,5,18,145,CMP_A,CMP,23,3335
11,CMP_A03,168,12,11,145,CMP_A,CMP,21,3045
11,CMP_B01,168,5,6,157,CMP_B,CMP,20,3140
11,CMP_B02,168,10,9,149,CMP_B,CMP,21,3129
11,CMP_B03,168,9,18,141,CMP_B,CMP,22,3102
11,IMPLANT_A01,168,6,2,160,IMPLANT_A,Implant,25,4000
11,IMPLANT_A02,168,12,12,144,IMPLANT_A,Implant,26,3744
11,IMPLANT_A03,168,1,19,148,IMPLANT_A,Implant,24,3552
11,IMPLANT_B01,168,11,7,150,IMPLANT_B,Implant,23,3450
11,IMPLANT_B02,168,12,8,148,IMPLANT_B,Implant,24,3552
11,IMPLANT_B03,168,6,0,162,IMPLANT_B,Implant,25,4050
12,LITHO_A01,168,2,12,154,LITHO_A,Lithography,20,3080
12,LITHO_A02,168,11,16,141,LITHO_A,Lithography,21,2961
12,LITHO_A03,168,8,0,160,LITHO_A,Lithography,19,3040
12,LITHO_B01,168,5,20,143,LITHO_B,Lithography,18,2574
12,LITHO_B02,168,5,11,152,LITHO_B,Lithography,20,3040
12,LITHO_B03,168,12,12,144,LITHO_B,Lithography,19,2736
12,ETCH_A01,168,12,14,142,ETCH_A,Etch,35,4970
12,ETCH_A02,168,4,15,149,ETCH_A,Etch,34,5066
12,ETCH_A03,168,5,20,143,ETCH_A,Etch,36,5148
12,ETCH_B01,168,10,4,154,ETCH_B,Etch,32,4928
12,ETCH_B02,168,3,2,163,ETCH_B,Etch,33,5379
12,ETCH_B03,168,2,19,147,ETCH_B,Etch,31,4557
12,DEPO_A01,168,8,17,143,DEPO_A,Deposition,28,4004
12,DEPO_A02,168,8,16,144,DEPO_A,Deposition,30,4320
12,DEPO_A03,168,0,20,148,DEPO_A,Deposition,29,4292
12,DEPO_B01,168,5,2,161,DEPO_B,Deposition,26,4186
12,DEPO_B02,168,6,10,152,DEPO_B,Deposition,27,4104
12,DEPO_B03,168,11,9,148,DEPO_B,Deposition,28,4144
12,CMP_A01,168,7,5,156,CMP_A,CMP,22,3432
12,CMP_A02,168,11,20,137,CMP_A,CMP,23,3151
12,CMP_A03,168,7,3,158,CMP_A,CMP,21,3318
12,CMP_B01,168,9,7,152,CMP_B,CMP,20,3040
12,CMP_B02,168,9,17,142,CMP_B,CMP,21,2982
12,CMP_B03,168,11,4,153,CMP_B,CMP,22,3366
12,IMPLANT_A01,168,8,3,157,IMPLANT_A,Implant,25,3925
12,IMPLANT_A02,168,10,16,142,IMPLANT_A,Implant,26,3692
12,IMPLANT_A03,168,8,0,160,IMPLANT_A,Implant,24,3840
12,IMPLANT_B01,168,4,19,145,IMPLANT_B,Implant,23,3335
12,IMPLANT_B02,168,12,15,141,IMPLANT_B,Implant,24,3384
12,IMPLANT_B03,168,12,12,144,IMPLANT_B,Implant,25,3600
13,LITHO_A01,168,2,5,161,LITHO_A,Lithography,20,3220
13,LITHO_A02,168,1,18,149,LITHO_A,Lithography,21,3129
13,LITHO_A03,168,4,14,150,LITHO_A,Lithography,19,2850
13,LITHO_B01,168,8,1,159,LITHO_B,Lithography,18,2862
13,LITHO_B02,168,9,17,142,LITHO_B,Lithography,20,2840
13,LITHO_B03,168,10,12,146,LITHO_B,Lithography,19,2774
13,ETCH_A01,168,4,0,164,ETCH_A,Etch,35,5740
13,ETCH_A02,168,5,0,163,ETCH_A,Etch,34,5542
13,ETCH_A03,168,1,14,153,ETCH_A,Etch,36,5508
13,ETCH_B01,168,0,10,158,ETCH_B,Etch,32,5056
13,ETCH_B02,168,4,16,148,ETCH_B,Etch,33,4884
13,ETCH_B03,168,12,0,156,ETCH_B,Etch,31,4836
13,DEPO_A01,168,1,8,159,DEPO_A,Deposition,28,4452
13,DEPO_A02,168,2,0,166,DEPO_A,Deposition,30,4980
13,DEPO_A03,168,4,15,149,DEPO_A,Deposition,29,4321
13,DEPO_B01,168,6,5,157,DEPO_B,Deposition,26,4082
13,DEPO_B02,168,11,16,141,DEPO_B,Deposition,27,3807
13,DEPO_B03,168,4,4,160,DEPO_B,Deposition,28,4480
13,CMP_A01,168,5,2,161,CMP_A,CMP,22,3542
13,CMP_A02,168,4,4,160,CMP_A,CMP,23,3680
13,CMP_A03,168,4,4,160,CMP_A,CMP,21,3360
13,CMP_B01,168,9,9,150,CMP_B,CMP,20,3000
13,CMP_B02,168,2,16,150,CMP_B,CMP,21,3150
13,CMP_B03,168,4,13,151,CMP_B,CMP,22,3322
13,IMPLANT_A01,168,8,13,147,IMPLANT_A,Implant,25,3675
13,IMPLANT_A02,168,0,18,150,IMPLANT_A,Implant,26,3900
13,IMPLANT_A03,168,12,12,144,IMPLANT_A,Implant,24,3456
13,IMPLANT_B01,168,3,0,165,IMPLANT_B,Implant,23,3795
13,IMPLANT_B02,168,0,7,161,IMPLANT_B,Implant,24,3864
13,IMPLANT_B03,168,1,7,160,IMPLANT_B,Implant,25,4000
14,LITHO_A01,168,6,1,161,LITHO_A,Lithography,20,3220
14,LITHO_A02,168,5,2,161,LITHO_A,Lithography,21,3381
14,LITHO_A03,168,10,17,141,LITHO_A,Lithography,19,2679
14,LITHO_B01,168,11,0,157,LITHO_B,Lithography,18,2826
14,LITHO_B02,168,5,11,152,LITHO_B,Lithography,20,3040
14,LITHO_B03,168,4,16,148,LITHO_B,Lithography,19,2812
14,ETCH_A01,168,6,14,148,ETCH_A,Etch,35,5180
14,ETCH_A02,168,4,20,144,ETCH_A,Etch,34,4896
14,ETCH_A03,168,1,10,157,ETCH_A,Etch,36,5652
